subclass,title
A45F,"TRAVELLING OR CAMP EQUIPMENT: SACKS OR PACKS CARRIED ON THE BODY"
A46B,"BRUSHES"
A46D,"MANUFACTURE OF BRUSHES"
A47B,"TABLES"
A47C,"CHAIRS"
A47D,"FURNITURE SPECIALLY ADAPTED FOR CHILDREN"
A47F,"SPECIAL FURNITURE, FITTINGS, OR ACCESSORIES FOR SHOPS, STOREHOUSES, BARS, RESTAURANTS OR THE LIKE"
A47G,"HOUSEHOLD OR TABLE EQUIPMENT"
A47H,"FURNISHINGS FOR WINDOWS OR DOORS"
A47J,"KITCHEN EQUIPMENT"
A47K,"SANITARY EQUIPMENT"
A47L,"DOMESTIC WASHING OR CLEANING"
A61B,"DIAGNOSIS"
A61C,"DENTISTRY"
A61D,"VETERINARY INSTRUMENTS, IMPLEMENTS, TOOLS, OR METHODS"
A61F,"FILTERS IMPLANTABLE INTO BLOOD VESSELS"
A61G,"TRANSPORT, PERSONAL CONVEYANCES, OR ACCOMMODATION SPECIALLY ADAPTED FOR PATIENTS OR DISABLED PERSONS"
A61H,"PHYSICAL THERAPY APPARATUS, e.g. DEVICES FOR LOCATING OR STIMULATING REFLEX POINTS IN THE BODY"
A61J,"CONTAINERS SPECIALLY ADAPTED FOR MEDICAL OR PHARMACEUTICAL PURPOSES"
A61K,"PREPARATIONS FOR MEDICAL, DENTAL OR TOILETRY PURPOSES"
A61L,"METHODS OR APPARATUS FOR STERILISING MATERIALS OR OBJECTS IN GENERAL"
A61M,"DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY"
A61N,"ELECTROTHERAPY"
A61P,"SPECIFIC THERAPEUTIC ACTIVITY OF CHEMICAL COMPOUNDS OR MEDICINAL PREPARATIONS"
A61Q,"SPECIFIC USE OF COSMETICS OR SIMILAR TOILETRY PREPARATIONS"
A62B,"DEVICES, APPARATUS OR METHODS FOR LIFE-SAVING"
A62C,"FIRE-FIGHTING"
A62D,"CHEMICAL MEANS FOR EXTINGUISHING FIRES OR FOR COMBATING OR PROTECTING AGAINST HARMFUL CHEMICAL AGENTS"
A63B,"APPARATUS FOR PHYSICAL TRAINING, GYMNASTICS, SWIMMING, CLIMBING, OR FENCING"
A63C,"SKATES"
A63D,"BOWLING GAMES, e.g. SKITTLES, BOCCE OR BOWLS"
A63F,"CARD, BOARD, OR ROULETTE GAMES"
A63G,"MERRY-GO-ROUNDS"
A63H,"TOYS, e.g. TOPS, DOLLS, HOOPS OR BUILDING BLOCKS"
A63J,"DEVICES FOR THEATRES, CIRCUSES, OR THE LIKE"
A63K,"RACING"
A99Z,"SUBJECT MATTER NOT OTHERWISE PROVIDED FOR IN THIS SECTION"
B01B,"BOILING"
B01D,"SEPARATION"
B01F,"MIXING, e.g. DISSOLVING, EMULSIFYING OR DISPERSING"
B01J,"CHEMICAL OR PHYSICAL PROCESSES, e.g. CATALYSIS OR COLLOID CHEMISTRY"
B01L,"CHEMICAL OR PHYSICAL LABORATORY APPARATUS FOR GENERAL USE"
B02B,"PREPARING GRAIN FOR MILLING"
B02C,"CRUSHING, PULVERISING, OR DISINTEGRATING IN GENERAL"
B03B,"SEPARATING SOLID MATERIALS USING LIQUIDS OR USING PNEUMATIC TABLES OR JIGS"
B03C,"MAGNETIC OR ELECTROSTATIC SEPARATION OF SOLID MATERIALS FROM SOLID MATERIALS OR FLUIDS"
B03D,"FLOTATION"
B04B,"CENTRIFUGES"
B04C,"APPARATUS USING FREE VORTEX FLOW, e.g. CYCLONES"
B05B,"SPRAYING APPARATUS"
B05C,"APPARATUS FOR APPLYING FLUENT MATERIALS TO SURFACES, IN GENERAL"
B05D,"PROCESSES FOR APPLYING FLUENT MATERIALS TO SURFACES, IN GENERAL"
B06B,"METHODS OR APPARATUS FOR GENERATING OR TRANSMITTING MECHANICAL VIBRATIONS OF INFRASONIC, SONIC, OR ULTRASONIC FREQUENCY, FOR PERFORMING MECHANICAL WORK IN GENERAL"
B07B,"SEPARATING SOLIDS FROM SOLIDS BY SIEVING, SCREENING, SIFTING OR BY USING GAS CURRENTS"
B07C,"POSTAL SORTING"
B08B,"CLEANING IN GENERAL"
B09B,"DISPOSAL OF SOLID WASTE NOT OTHERWISE PROVIDED FOR"
B09C,"RECLAMATION OF CONTAMINATED SOIL"
B21B,"ROLLING OF METAL"
B21C,"MANUFACTURE OF METAL SHEETS, WIRE, RODS, TUBES, PROFILES OR LIKE SEMI-MANUFACTURED PRODUCTS OTHERWISE THAN BY ROLLING"
B21D,"WORKING OR PROCESSING OF SHEET METAL OR METAL TUBES, RODS OR PROFILES WITHOUT ESSENTIALLY REMOVING MATERIAL"
B21F,"WORKING OR PROCESSING OF METAL WIRE"
B21G,"MAKING NEEDLES, PINS OR NAILS OF METAL"
B21H,"MAKING PARTICULAR METAL OBJECTS BY ROLLING, e.g. SCREWS, WHEELS, RINGS, BARRELS, BALLS"
B21J,"FORGING"
B21K,"MAKING FORGED OR PRESSED METAL PRODUCTS, e.g. HORSE-SHOES, RIVETS, BOLTS OR WHEELS"
B21L,"MAKING METAL CHAINS"
B22C,"FOUNDRY MOULDING"
B22D,"CASTING OF METALS"
B22F,"WORKING METALLIC POWDER"
B23B,"TURNING"
B23C,"MILLING"
B23D,"PLANING"
B23F,"MAKING GEARS OR TOOTHED RACKS"
B23G,"THREAD CUTTING"
B23H,"WORKING OF METAL BY THE ACTION OF A HIGH CONCENTRATION OF ELECTRIC CURRENT ON A WORKPIECE USING AN ELECTRODE WHICH TAKES THE PLACE OF A TOOL"
B23K,"SOLDERING OR UNSOLDERING"
B23P,"METAL-WORKING NOT OTHERWISE PROVIDED FOR"
B23Q,"DETAILS, COMPONENTS, OR ACCESSORIES FOR MACHINE TOOLS, e.g. ARRANGEMENTS FOR COPYING OR CONTROLLING"
B24B,"MACHINES, DEVICES, OR PROCESSES FOR GRINDING OR POLISHING"
B24C,"ABRASIVE OR RELATED BLASTING WITH PARTICULATE MATERIAL"
B24D,"TOOLS FOR GRINDING, BUFFING OR SHARPENING"
B25B,"TOOLS OR BENCH DEVICES NOT OTHERWISE PROVIDED FOR, FOR FASTENING, CONNECTING, DISENGAGING OR HOLDING"
B25C,"HAND-HELD NAILING OR STAPLING TOOLS"
B25D,"PERCUSSIVE TOOLS"
B25F,"COMBINATION OR MULTI-PURPOSE TOOLS NOT OTHERWISE PROVIDED FOR"
B25G,"HANDLES FOR HAND IMPLEMENTS"
B25H,"WORKSHOP EQUIPMENT, e.g. FOR MARKING-OUT WORK"
B25J,"MANIPULATORS"
B26B,"HAND-HELD CUTTING TOOLS NOT OTHERWISE PROVIDED FOR"
B26D,"CUTTING"
B26F,"PERFORATING"
B27B,"SAWS FOR WOOD OR SIMILAR MATERIAL"
B27C,"PLANING, DRILLING, MILLING, TURNING OR UNIVERSAL MACHINES FOR WOOD OR SIMILAR MATERIAL"
B27D,"WORKING VENEER OR PLYWOOD"
B27F,"DOVETAILED WORK"
B27G,"ACCESSORY MACHINES OR APPARATUS FOR WORKING WOOD OR SIMILAR MATERIALS"
B27H,"BENDING WOOD OR SIMILAR MATERIAL"
B27J,"MECHANICAL WORKING OF CANE, CORK, OR SIMILAR MATERIALS"
B27K,"PROCESSES, APPARATUS OR SELECTION OF SUBSTANCES FOR IMPREGNATING, STAINING, DYEING, BLEACHING OF WOOD OR SIMILAR MATERIALS, OR TREATING OF WOOD OR SIMILAR MATERIALS WITH PERMEANT LIQUIDS, NOT OTHERWISE PROVIDED FOR"
B27L,"REMOVING BARK OR VESTIGES OF BRANCHES"
B27M,"WORKING OF WOOD NOT PROVIDED FOR IN SUBCLASSES B27B - B27L"
B27N,"MANUFACTURE BY DRY PROCESSES OF ARTICLES, WITH OR WITHOUT ORGANIC BINDING AGENTS, MADE FROM PARTICLES OR FIBRES CONSISTING OF WOOD OR OTHER LIGNOCELLULOSIC OR LIKE ORGANIC MATERIAL"
B28B,"SHAPING CLAY OR OTHER CERAMIC COMPOSITIONS"
B28C,"PREPARING CLAY"
B28D,"WORKING STONE OR STONE-LIKE MATERIALS"
B29B,"PREPARATION OR PRETREATMENT OF THE MATERIAL TO BE SHAPED"
B29C,"SHAPING OR JOINING OF PLASTICS"
B29D,"PRODUCING PARTICULAR ARTICLES FROM PLASTICS OR FROM SUBSTANCES IN A PLASTIC STATE"
B29K,"INDEXING SCHEME ASSOCIATED WITH SUBCLASSES B29B, B29C OR B29D, RELATING TO MOULDING MATERIALS OR TO MATERIALS FOR REINFORCEMENTS, FILLERS OR PREFORMED PARTS, e.g. INSERTS"
B29L,"INDEXING SCHEME ASSOCIATED WITH SUBCLASS B29C, RELATING TO PARTICULAR ARTICLES"
B30B,"PRESSES IN GENERAL"
B31B,"MAKING CONTAINERS OF PAPER, CARDBOARD OR MATERIAL WORKED IN A MANNER ANALOGOUS TO PAPER"
B31C,"MAKING WOUND ARTICLES, e.g. WOUND TUBES, OF PAPER, CARDBOARD OR MATERIAL WORKED IN A MANNER ANALOGOUS TO PAPER"
B31D,"MAKING ARTICLES OF PAPER, CARDBOARD OR MATERIAL WORKED IN A MANNER ANALOGOUS TO PAPER, NOT PROVIDED FOR IN SUBCLASSES B31B OR B31C"
B31F,"MECHANICAL WORKING OR DEFORMATION OF PAPER, CARDBOARD OR MATERIAL WORKED IN A MANNER ANALOGOUS TO PAPER"
B32B,"LAYERED PRODUCTS, i.e. PRODUCTS BUILT-UP OF STRATA OF FLAT OR NON-FLAT, e.g. CELLULAR OR HONEYCOMB, FORM"
B33Y,"ADDITIVE MANUFACTURING, i.e. MANUFACTURING OF THREE-DIMENSIONAL [3D] OBJECTS BY ADDITIVE DEPOSITION, ADDITIVE AGGLOMERATION OR ADDITIVE LAYERING, e.g. BY 3D PRINTING, STEREOLITHOGRAPHY OR SELECTIVE LASER SINTERING"
B41B,"MACHINES OR ACCESSORIES FOR MAKING, SETTING, OR DISTRIBUTING TYPE"
B41C,"PROCESSES FOR THE MANUFACTURE OR REPRODUCTION OF PRINTING SURFACES"
B41D,"APPARATUS FOR THE MECHANICAL REPRODUCTION OF PRINTING SURFACES FOR STEREOTYPE PRINTING"
B41F,"PRINTING MACHINES OR PRESSES"
B41G,"APPARATUS FOR BRONZE PRINTING, LINE PRINTING, OR FOR BORDERING OR EDGING SHEETS OR LIKE ARTICLES"
B41J,"TYPEWRITERS"
B41K,"STAMPS"
B41L,"APPARATUS OR DEVICES FOR MANIFOLDING, DUPLICATING OR PRINTING FOR OFFICE OR OTHER COMMERCIAL PURPOSES"
B41M,"PRINTING, DUPLICATING, MARKING, OR COPYING PROCESSES"
B41N,"PRINTING PLATES OR FOILS"
B41P,"INDEXING SCHEME RELATING TO PRINTING, LINING MACHINES, TYPEWRITERS, AND TO STAMPS"
B42B,"PERMANENTLY ATTACHING TOGETHER SHEETS, QUIRES OR SIGNATURES OR PERMANENTLY ATTACHING OBJECTS THERETO"
B42C,"BOOKBINDING"
B42D,"BOOKS"
B42F,"SHEETS TEMPORARILY ATTACHED TOGETHER"
B42P,"INDEXING SCHEME RELATING TO BOOKS, FILING APPLIANCES OR THE LIKE"
B43K,"IMPLEMENTS FOR WRITING OR DRAWING"
B43L,"ARTICLES FOR WRITING OR DRAWING UPON"
B43M,"BUREAU ACCESSORIES NOT OTHERWISE PROVIDED FOR"
B44B,"MACHINES, APPARATUS OR TOOLS FOR ARTISTIC WORK, e.g. FOR SCULPTURING, GUILLOCHING, CARVING, BRANDING, INLAYING"
B44C,"PRODUCING DECORATIVE EFFECTS"
B44D,"PAINTING OR ARTISTIC DRAWING, NOT OTHERWISE PROVIDED FOR"
B44F,"SPECIAL DESIGNS OR PICTURES"
B60B,"VEHICLE WHEELS"
B60C,"VEHICLE TYRES"
B60D,"VEHICLE CONNECTIONS"
B60F,"VEHICLES FOR USE BOTH ON RAIL AND ON ROAD"
B60G,"VEHICLE SUSPENSION ARRANGEMENTS"
B60H,"ARRANGEMENTS OF HEATING, COOLING, VENTILATING OR OTHER AIR-TREATING DEVICES SPECIALLY ADAPTED FOR PASSENGER OR GOODS SPACES OF VEHICLES"
B60J,"WINDOWS, WINDSCREENS, NON-FIXED ROOFS, DOORS, OR SIMILAR DEVICES FOR VEHICLES"
B60K,"ARRANGEMENT OR MOUNTING OF PROPULSION UNITS OR OF TRANSMISSIONS IN VEHICLES"
B60L,"PROPULSION OF ELECTRICALLY-PROPELLED VEHICLES"
B60M,"POWER SUPPLY LINES, AND DEVICES ALONG RAILS, FOR ELECTRICALLY- PROPELLED VEHICLES"
B60N,"SEATS SPECIALLY ADAPTED FOR VEHICLES"
B60P,"VEHICLES ADAPTED FOR LOAD TRANSPORTATION OR TO TRANSPORT, TO CARRY, OR TO COMPRISE SPECIAL LOADS OR OBJECTS"
B60Q,"ARRANGEMENT OF SIGNALLING OR LIGHTING DEVICES, THE MOUNTING OR SUPPORTING THEREOF OR CIRCUITS THEREFOR, FOR VEHICLES IN GENERAL"
B60R,"VEHICLES, VEHICLE FITTINGS, OR VEHICLE PARTS, NOT OTHERWISE PROVIDED FOR"
B60S,"SERVICING, CLEANING, REPAIRING, SUPPORTING, LIFTING, OR MANOEUVRING OF VEHICLES, NOT OTHERWISE PROVIDED FOR"
B60T,"VEHICLE BRAKE CONTROL SYSTEMS OR PARTS THEREOF"
B60V,"AIR-CUSHION VEHICLES"
B60W,"CONJOINT CONTROL OF VEHICLE SUB-UNITS OF DIFFERENT TYPE OR DIFFERENT FUNCTION"
B60Y,"INDEXING SCHEME RELATING TO ASPECTS CROSS-CUTTING VEHICLE TECHNOLOGY"
B61B,"RAILWAY SYSTEMS"
B61C,"LOCOMOTIVES"
B61D,"BODY DETAILS OR KINDS OF RAILWAY VEHICLES"
B61F,"RAIL VEHICLE SUSPENSIONS, e.g. UNDERFRAMES, BOGIES OR ARRANGEMENTS OF WHEEL AXLES"
B61G,"COUPLINGS"
B61H,"BRAKES OR OTHER RETARDING DEVICES SPECIALLY ADAPTED FOR RAIL VEHICLES"
B61J,"SHIFTING OR SHUNTING OF RAIL VEHICLES"
B61K,"AUXILIARY EQUIPMENT SPECIALLY ADAPTED FOR RAILWAYS, NOT OTHERWISE PROVIDED FOR"
B61L,"GUIDING RAILWAY TRAFFIC"
B62B,"HAND-PROPELLED VEHICLES, e.g. HAND CARTS OR PERAMBULATORS"
B62C,"VEHICLES DRAWN BY ANIMALS"
B62D,"MOTOR VEHICLES"
B62H,"CYCLE STANDS"
B62J,"CYCLE SADDLES OR SEATS"
B62K,"CYCLES"
B62L,"BRAKES SPECIALLY ADAPTED FOR CYCLES"
B62M,"RIDER PROPULSION OF WHEELED VEHICLES OR SLEDGES"
B63B,"SHIPS OR OTHER WATERBORNE VESSELS"
B63C,"LAUNCHING, HAULING-OUT, OR DRY-DOCKING OF VESSELS"
B63G,"OFFENSIVE OR DEFENSIVE ARRANGEMENTS ON VESSELS"
B63H,"MARINE PROPULSION OR STEERING"
B63J,"AUXILIARIES ON VESSELS"
B64B,"LIGHTER-THAN AIR AIRCRAFT"
B64C,"AEROPLANES"
B64D,"EQUIPMENT FOR FITTING IN OR TO AIRCRAFT"
B64F,"GROUND OR AIRCRAFT-CARRIER-DECK INSTALLATIONS SPECIALLY ADAPTED FOR USE IN CONNECTION WITH AIRCRAFT"
B64G,"COSMONAUTICS"
B64U,"UNMANNED AERIAL VEHICLES [UAV]"
B65B,"MACHINES, APPARATUS OR DEVICES FOR, OR METHODS OF, PACKAGING ARTICLES OR MATERIALS"
B65C,"LABELLING OR TAGGING MACHINES, APPARATUS, OR PROCESSES"
B65D,"CONTAINERS FOR STORAGE OR TRANSPORT OF ARTICLES OR MATERIALS, e.g. BAGS, BARRELS, BOTTLES, BOXES, CANS, CARTONS, CRATES, DRUMS, JARS, TANKS, HOPPERS, FORWARDING CONTAINERS"
B65F,"GATHERING OR REMOVAL OF DOMESTIC OR LIKE REFUSE"
B65G,"TRANSPORT OR STORAGE DEVICES, e.g. CONVEYORS FOR LOADING OR TIPPING, SHOP CONVEYOR SYSTEMS OR PNEUMATIC TUBE CONVEYORS"
B65H,"HANDLING THIN OR FILAMENTARY MATERIAL, e.g. SHEETS, WEBS, CABLES"
B66B,"ELEVATORS"
B66C,"CRANES"
B66D,"CAPSTANS"
B66F,"HOISTING, LIFTING, HAULING OR PUSHING, NOT OTHERWISE PROVIDED FOR, e.g. DEVICES WHICH APPLY A LIFTING OR PUSHING FORCE DIRECTLY TO THE SURFACE OF A LOAD"
B67B,"APPLYING CLOSURE MEMBERS TO BOTTLES JARS, OR SIMILAR CONTAINERS"
B67C,"CLEANING, FILLING WITH LIQUIDS OR SEMILIQUIDS, OR EMPTYING, OF BOTTLES, JARS, CANS, CASKS, BARRELS, OR SIMILAR CONTAINERS, NOT OTHERWISE PROVIDED FOR"
B67D,"DISPENSING, DELIVERING OR TRANSFERRING LIQUIDS, NOT OTHERWISE PROVIDED FOR"
B68B,"HARNESS"
B68C,"SADDLES"
B68F,"MAKING ARTICLES FROM LEATHER, CANVAS, OR THE LIKE"
B68G,"METHODS, EQUIPMENT, OR MACHINES FOR USE IN UPHOLSTERING"
B81B,"MICROSTRUCTURAL DEVICES OR SYSTEMS, e.g. MICROMECHANICAL DEVICES"
B81C,"PROCESSES OR APPARATUS SPECIALLY ADAPTED FOR THE MANUFACTURE OR TREATMENT OF MICROSTRUCTURAL DEVICES OR SYSTEMS"
B82B,"NANOSTRUCTURES FORMED BY MANIPULATION OF INDIVIDUAL ATOMS, MOLECULES, OR LIMITED COLLECTIONS OF ATOMS OR MOLECULES AS DISCRETE UNITS"
B82Y,"SPECIFIC USES OR APPLICATIONS OF NANOSTRUCTURES"
B99Z,"SUBJECT MATTER NOT OTHERWISE PROVIDED FOR IN THIS SECTION"
C01B,"NON-METALLIC ELEMENTS"
C01C,"AMMONIA"
C01D,"COMPOUNDS OF ALKALI METALS, i.e. LITHIUM, SODIUM, POTASSIUM, RUBIDIUM, CAESIUM, OR FRANCIUM"
C01F,"COMPOUNDS OF THE METALS BERYLLIUM, MAGNESIUM, ALUMINIUM, CALCIUM, STRONTIUM, BARIUM, RADIUM, THORIUM, OR OF THE RARE-EARTH METALS"
C01G,"COMPOUNDS CONTAINING METALS NOT COVERED BY SUBCLASSES C01D OR C01F"
C01P,"INDEXING SCHEME RELATING TO STRUCTURAL AND PHYSICAL ASPECTS OF SOLID INORGANIC COMPOUNDS"
C02F,"TREATMENT OF WATER, WASTE WATER, SEWAGE, OR SLUDGE"
C03B,"MANUFACTURE, SHAPING, OR SUPPLEMENTARY PROCESSES"
C03C,"CHEMICAL COMPOSITION OF GLASSES, GLAZES OR VITREOUS ENAMELS"
C04B,"LIME, MAGNESIA"
C05B,"PHOSPHATIC FERTILISERS"
C05C,"NITROGENOUS FERTILISERS"
C05D,"INORGANIC FERTILISERS NOT COVERED BY SUBCLASSES C05B, C05C"
C05F,"ORGANIC FERTILISERS NOT COVERED BY SUBCLASSES C05B, C05C, e.g. FERTILISERS FROM WASTE OR REFUSE"
C05G,"MIXTURES OF FERTILISERS COVERED INDIVIDUALLY BY DIFFERENT SUBCLASSES OF CLASS C05"
C06B,"EXPLOSIVES OR THERMIC COMPOSITIONS"
C06C,"DETONATING OR PRIMING DEVICES"
C06D,"MEANS FOR GENERATING SMOKE OR MIST"
C06F,"MATCHES"
C07B,"GENERAL METHODS OF ORGANIC CHEMISTRY"
C07C,"ACYCLIC OR CARBOCYCLIC COMPOUNDS"
C07D,"HETEROCYCLIC COMPOUNDS"
C07F,"ACYCLIC, CARBOCYCLIC OR HETEROCYCLIC COMPOUNDS CONTAINING ELEMENTS OTHER THAN CARBON, HYDROGEN, HALOGEN, OXYGEN, NITROGEN, SULFUR, SELENIUM OR TELLURIUM"
C07G,"COMPOUNDS OF UNKNOWN CONSTITUTION"
C07H,"SUGARS"
C07J,"STEROIDS"
C07K,"PEPTIDES"
C08B,"POLYSACCHARIDES"
C08C,"TREATMENT OR CHEMICAL MODIFICATION OF RUBBERS"
C08F,"MACROMOLECULAR COMPOUNDS OBTAINED BY REACTIONS ONLY INVOLVING CARBON-TO-CARBON UNSATURATED BONDS"
C08G,"MACROMOLECULAR COMPOUNDS OBTAINED OTHERWISE THAN BY REACTIONS ONLY INVOLVING UNSATURATED CARBON-TO-CARBON BONDS"
C08H,"DERIVATIVES OF NATURAL MACROMOLECULAR COMPOUNDS"
C08J,"WORKING-UP"
C08K,"Use of inorganic or non-macromolecular organic substances as compounding ingredients"
C08L,"COMPOSITIONS OF MACROMOLECULAR COMPOUNDS"
C09B,"ORGANIC DYES OR CLOSELY-RELATED COMPOUNDS FOR PRODUCING DYES"
C09C,"TREATMENT OF INORGANIC MATERIALS, OTHER THAN FIBROUS FILLERS, TO ENHANCE THEIR PIGMENTING OR FILLING PROPERTIES "
C09D,"COATING COMPOSITIONS, e.g. PAINTS, VARNISHES OR LACQUERS"
C09F,"NATURAL RESINS"
C09G,"POLISHING COMPOSITIONS"
C09H,"PREPARATION OF GLUE OR GELATINE"
C09J,"ADHESIVES"
C09K,"MATERIALS FOR MISCELLANEOUS APPLICATIONS, NOT PROVIDED FOR ELSEWHERE"
C10B,"DESTRUCTIVE DISTILLATION OF CARBONACEOUS MATERIALS FOR PRODUCTION OF GAS, COKE, TAR, OR SIMILAR MATERIALS"
C10C,"WORKING-UP PITCH, ASPHALT, BITUMEN, TAR"
C10F,"DRYING OR WORKING-UP OF PEAT"
C10G,"CRACKING HYDROCARBON OILS"
C10H,"PRODUCTION OF ACETYLENE BY WET METHODS"
C10J,"PRODUCTION OF PRODUCER GAS, WATER-GAS, SYNTHESIS GAS FROM SOLID CARBONACEOUS MATERIAL, OR MIXTURES CONTAINING THESE GASES"
C10K,"PURIFYING OR MODIFYING THE CHEMICAL COMPOSITION OF COMBUSTIBLE GASES CONTAINING CARBON MONOXIDE"
C10L,"FUELS NOT OTHERWISE PROVIDED FOR"
C10M,"LUBRICATING COMPOSITIONS"
C10N,"INDEXING SCHEME ASSOCIATED WITH SUBCLASS C10M RELATING TO LUBRICATING COMPOSITIONS"
C11B,"PRODUCING, e.g. BY PRESSING RAW MATERIALS OR BY EXTRACTION FROM WASTE MATERIALS, REFINING OR PRESERVING FATS, FATTY SUBSTANCES, e.g. LANOLIN, FATTY OILS OR WAXES"
C11C,"FATTY ACIDS FROM FATS, OILS OR WAXES"
C11D,"DETERGENT COMPOSITIONS"
C12C,"BEER"
C12F,"RECOVERY OF BY-PRODUCTS OF FERMENTED SOLUTIONS"
C12G,"WINE"
C12H,"PASTEURISATION, STERILISATION, PRESERVATION, PURIFICATION, CLARIFICATION OR AGEING OF ALCOHOLIC BEVERAGES"
C12J,"VINEGAR"
C12L,"PITCHING OR DEPITCHING MACHINES"
C12M,"APPARATUS FOR ENZYMOLOGY OR MICROBIOLOGY"
C12N,"MICROORGANISMS OR ENZYMES"
C12P,"FERMENTATION OR ENZYME-USING PROCESSES TO SYNTHESISE A DESIRED CHEMICAL COMPOUND OR COMPOSITION OR TO SEPARATE OPTICAL ISOMERS FROM A RACEMIC MIXTURE"
C12Q,"MEASURING OR TESTING PROCESSES INVOLVING ENZYMES, NUCLEIC ACIDS OR MICROORGANISMS"
C12R,"INDEXING SCHEME ASSOCIATED WITH SUBCLASSES C12C - C12Q, RELATING TO MICROORGANISMS"
C12Y,"ENZYMES"
C13B,"PRODUCTION OF SUCROSE"
C13K,"SACCHARIDES OBTAINED FROM NATURAL SOURCES OR BY HYDROLYSIS OF NATURALLY OCCURRING DISACCHARIDES, OLIGOSACCHARIDES OR POLYSACCHARIDES"
C14B,"MECHANICAL TREATMENT OR PROCESSING OF SKINS, HIDES OR LEATHER IN GENERAL"
C14C,"CHEMICAL TREATMENT OF HIDES, SKINS OR LEATHER, e.g. TANNING, IMPREGNATING, FINISHING"
C21B,"MANUFACTURE OF IRON OR STEEL"
C21C,"PROCESSING OF PIG-IRON, e.g. REFINING, MANUFACTURE OF WROUGHT-IRON OR STEEL"
C21D,"MODIFYING THE PHYSICAL STRUCTURE OF FERROUS METALS"
C22B,"PRODUCTION AND REFINING OF METALS"
C22C,"ALLOYS"
C22F,"CHANGING THE PHYSICAL STRUCTURE OF NON-FERROUS METALS AND NON-FERROUS ALLOYS"
C23C,"COATING METALLIC MATERIAL"
C23D,"ENAMELLING OF, OR APPLYING A VITREOUS LAYER TO, METALS"
